PlotID,Repeat,C,N,CN,d13C,d15N
1209,2,39.75,2.59,15.34398178,-16.70,2.41
1209,3,43.61,3.52,12.39200509,-16.59,2.62
1210,1,51.34,3.76,13.66106612,-15.78,3.63
1210,2,42.10,2.05,20.57875023,-15.70,1.67
1210,3,42.58,3.40,12.53269323,-15.93,0.77
1211,Pooled,44.58,2.76,16.16207419,-15.35,-0.20
1212,Pooled,43.62,2.70,16.18336175,-15.48,0.78
1213,Pooled,43.91,3.34,13.15137045,-15.41,1.71
1214,1,42.33,2.65,15.97512575,-16.79,3.52
1214,2,36.72,2.43,15.08929432,-16.87,3.40
1214,3,43.48,3.55,12.2329605,-16.95,3.75
1215,1,42.83,2.84,15.08267072,-15.70,2.13
1215,2,44.45,2.87,15.50497104,-15.71,1.71
1215,3,46.11,2.55,18.05987453,-15.61,2.82
1216,Pooled,43.69,2.23,19.60167424,-15.13,3.48
1217,1,43.48,2.59,16.77864263,-16.09,2.56
1217,2,41.28,3.20,12.92086224,-16.66,1.16
1217,3,43.07,2.95,14.57915083,-16.22,2.16
1218,Pooled,46.71,2.57,18.16376021,-15.73,0.04
1219,Pooled,44.54,3.00,14.86184779,-15.52,1.14
1220,Pooled,44.70,2.55,17.51228229,-15.47,1.80
1222,Pooled,45.55,2.51,18.15128234,-15.26,2.44
1223,1,43.27,2.17,19.92300655,-15.73,1.12
1223,2,45.32,2.53,17.91128399,-15.76,1.78
1223,3,44.51,2.22,20.07687082,-15.93,1.65
1224,1,46.30,3.01,15.3679901,-16.23,3.03
1224,2,44.62,2.60,17.1891613,-15.96,2.98
1224,3,44.21,2.88,15.37112719,-16.08,3.35
1225,1,40.73,2.97,13.70000374,-15.93,2.88
1225,2,42.94,3.81,11.27007444,-15.90,2.96
1225,3,44.95,3.33,13.50970875,-15.56,0.45
1226,Pooled,45.78,3.32,13.77697143,-15.56,0.81
1227,Pooled,46.94,3.38,13.87948495,-16.23,1.83
1228,Pooled,43.90,2.66,16.49261577,-15.48,0.41
1229,1,35.74,2.39,14.97811518,-16.01,4.11
1229,2,41.69,2.91,14.30437326,-15.92,3.00
1229,3,41.23,2.61,15.79837449,-15.68,2.80
1230,1,40.82,2.46,16.6165714,-15.85,3.16
1230,2,43.28,1.76,24.54889189,-15.52,2.80
1230,3,43.57,2.79,15.60584683,-16.01,1.59
1231,Pooled,46.98,3.52,13.32835271,-15.64,2.25
1232,Pooled,45.87,2.74,16.76958333,-15.42,2.60
1233,Pooled,43.54,3.28,13.29518745,-15.72,2.21
1234,Pooled,46.71,2.65,17.61743228,-15.72,1.68
1235,Pooled,43.85,3.08,14.24226788,-15.85,1.95
1236,Pooled,43.61,3.27,13.32020611,-15.57,1.62
1237,Pooled,44.97,2.46,18.26931317,-15.53,4.34
1238,Pooled,45.46,4.53,10.0364618,-15.95,2.83
1239,Pooled,44.72,3.19,14.03673177,-15.64,1.24
1240,Pooled,43.94,3.46,12.71061223,-15.95,3.50
1241,Pooled,42.88,2.62,16.34691544,-15.58,1.38
1242,Pooled,42.52,2.65,16.05598818,-15.69,-0.10
1243,Pooled,43.55,3.25,13.39004187,-16.16,1.88
1244,Pooled,45.52,2.62,17.40586467,-15.43,0.25
1245,1,42.06,2.92,14.40831731,-16.55,2.31
1245,2,43.21,2.73,15.80759234,-17.07,3.23
1245,3,43.39,3.54,12.2470416,-16.67,3.04
1246,Pooled,46.38,3.08,15.05553766,-15.61,1.43
1247,Pooled,42.23,2.78,15.2021162,-16.00,2.12
1248,1,39.82,2.94,13.53910401,-16.02,3.79
1248,2,42.58,3.64,11.70533576,-16.31,1.89
1248,3,43.51,2.97,14.67307025,-16.10,4.89
1249,Pooled,44.24,3.50,12.62330717,-15.85,3.60
1250,Pooled,46.90,3.31,14.18550114,-16.03,0.57
1251,Pooled,43.47,4.05,10.73511519,-16.15,3.57
